ORIGIN,DEST,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,DEPARTURES_PERFORMED,SEATS,PASSENGERS,FREIGHT,DISTANCE,YEAR,MONTH,CLASS
BDA,ART,2T,BermudAir,10.00,960.00,603.00,0.00,772.00,2026,2,F
ART,LHR,BA,British Airways Plc,10.00,2158.00,1509.00,8732.00,3265.00,2026,2,F
GRU,ART,JJ,TAM Linhas Aereas SA dba Latam Airlines Brasil,10.00,2994.00,2659.00,197655.00,4790.00,2026,1,F
ART,TLV,LY,El Al Israel Airlines Ltd.,11.00,2593.00,2047.00,0.00,5492.00,2026,2,F
LHR,ART,BA,British Airways Plc,11.00,2374.00,1576.00,250474.00,3265.00,2026,2,F
ART,LHR,BA,British Airways Plc,11.00,2374.00,1940.00,42627.00,3265.00,2026,1,F
LHR,ART,BA,British Airways Plc,11.00,2374.00,2075.00,65804.00,3265.00,2026,1,F
ART,BCN,LL,LEVEL,11.00,3025.00,1875.00,6437.00,3650.00,2026,2,F
BCN,ART,LL,LEVEL,11.00,3025.00,2044.00,166927.00,3650.00,2026,2,F
GRU,ART,JJ,TAM Linhas Aereas SA dba Latam Airlines Brasil,11.00,3294.00,2577.00,219151.00,4790.00,2026,2,F
ART,GRU,JJ,TAM Linhas Aereas SA dba Latam Airlines Brasil,11.00,3294.00,2853.00,62091.00,4790.00,2026,1,F
ART,SDQ,DM,Arajet S.A.,12.00,2244.00,1398.00,46145.00,1651.00,2026,2,F
SDQ,ART,DM,Arajet S.A.,12.00,2244.00,1489.00,40834.00,1651.00,2026,2,F
ART,BOG,AV,Aerovias Nacl De Colombia,12.00,2068.00,1641.00,0.00,2599.00,2026,2,F
BOG,ART,AV,Aerovias Nacl De Colombia,12.00,2124.00,1403.00,15.00,2599.00,2026,2,F
TLV,ART,LY,El Al Israel Airlines Ltd.,12.00,2813.00,2391.00,97189.00,5492.00,2026,2,F
TLV,ART,LY,El Al Israel Airlines Ltd.,12.00,2826.00,2777.00,93962.00,5492.00,2026,1,F
ART,TLV,LY,El Al Israel Airlines Ltd.,12.00,2839.00,2385.00,0.00,5492.00,2026,1,F
ART,BOG,AV,Aerovias Nacl De Colombia,14.00,2452.00,1779.00,0.00,2599.00,2026,1,F
BOG,ART,AV,Aerovias Nacl De Colombia,14.00,2475.00,2148.00,359.00,2599.00,2026,1,F
ART,SAL,TA,Taca International Airlines,14.00,2478.00,2014.00,112.00,2266.00,2026,1,F
ART,SAL,TA,Taca International Airlines,14.00,2478.00,1954.00,0.00,2266.00,2026,2,F
SAL,ART,TA,Taca International Airlines,14.00,2482.00,2281.00,7669.00,2266.00,2026,1,F
SAL,ART,TA,Taca International Airlines,14.00,2478.00,2161.00,12883.00,2266.00,2026,2,F
ART,PTY,CM,Compania Panamena (Copa),15.00,2554.00,2118.00,851.00,2348.00,2026,1,F
PTY,ART,CM,Compania Panamena (Copa),16.00,2728.00,2529.00,8791.00,2348.00,2026,1,F
ART,FRA,LH,Lufthansa German Airlines,16.00,4080.00,2890.00,320615.00,3669.00,2026,1,F
FRA,ART,LH,Lufthansa German Airlines,16.00,4080.00,3460.00,367248.00,3669.00,2026,1,F
IST,ART,TK,Turk Hava Yollari A.O.,16.00,5264.00,3886.00,403643.00,4812.00,2026,2,F
ART,IST,TK,Turk Hava Yollari A.O.,16.00,5264.00,3927.00,281668.00,4812.00,2026,2,F
ART,SDQ,DM,Arajet S.A.,17.00,3008.00,1425.00,52551.00,1651.00,2026,1,F
SDQ,ART,DM,Arajet S.A.,17.00,3193.00,2891.00,100214.00,1651.00,2026,1,F
CDG,ART,AF,Compagnie Natl Air France,18.00,5256.00,4129.00,393160.00,3449.00,2026,2,F
ART,CDG,AF,Compagnie Natl Air France,18.00,5256.00,4437.00,139795.00,3449.00,2026,2,F
LHR,ART,VS,Virgin Atlantic Airways,18.00,4788.00,2895.00,506823.00,3265.00,2026,2,F
ZRH,ART,LX,Swiss International Airlines,18.00,4248.00,3423.00,487912.00,3745.00,2026,2,F
ART,ZRH,LX,Swiss International Airlines,18.00,4248.00,3587.00,203300.00,3745.00,2026,2,F
CPH,ART,SK,Scandinavian Airlines Sys.,19.00,2983.00,2541.00,1351.00,3670.00,2026,1,F
ART,LHR,VS,Virgin Atlantic Airways,19.00,5054.00,2949.00,139883.00,3265.00,2026,2,F
ART,IST,TK,Turk Hava Yollari A.O.,19.00,6251.00,3903.00,241523.00,4812.00,2026,1,F
ART,CPH,SK,Scandinavian Airlines Sys.,20.00,3137.00,2669.00,2042.00,3670.00,2026,1,F
IST,ART,TK,Turk Hava Yollari A.O.,20.00,6580.00,6037.00,499886.00,4812.00,2026,1,F
FRA,ART,LH,Lufthansa German Airlines,21.00,5355.00,3759.00,473554.00,3669.00,2026,2,F
ART,YYZ,AC,Air Canada,22.00,3014.00,1760.00,0.00,446.00,2026,1,F
ART,FRA,LH,Lufthansa German Airlines,22.00,5610.00,4464.00,431873.00,3669.00,2026,2,F
YYZ,ART,AC,Air Canada,23.00,3151.00,2439.00,328.00,446.00,2026,1,F
MEX,ART,AM,Aeromexico,23.00,3818.00,2961.00,0.00,2276.00,2026,2,F
ART,CPH,SK,Scandinavian Airlines Sys.,23.00,3607.00,2994.00,1366.00,3670.00,2026,2,F
CPH,ART,SK,Scandinavian Airlines Sys.,23.00,3610.00,2745.00,1511.00,3670.00,2026,2,F
ART,MEX,AM,Aeromexico,23.00,3818.00,3271.00,0.00,2276.00,2026,2,F
ART,CDG,AF,Compagnie Natl Air France,23.00,6716.00,5925.00,178075.00,3449.00,2026,1,F
CDG,ART,AF,Compagnie Natl Air France,23.00,6716.00,6040.00,404644.00,3449.00,2026,1,F
ART,LHR,BA,British Airways Plc,23.00,5888.00,3663.00,21133.00,3265.00,2026,2,F
LHR,ART,BA,British Airways Plc,23.00,5888.00,3411.00,500608.00,3265.00,2026,2,F
ART,ZRH,LX,Swiss International Airlines,23.00,5582.00,4810.00,209988.00,3745.00,2026,1,F
ART,YYZ,AC,Air Canada,24.00,3288.00,2185.00,1038.00,446.00,2026,2,F
ART,PTY,CM,Compania Panamena (Copa),24.00,3936.00,3738.00,660.00,2348.00,2026,2,F
PTY,ART,CM,Compania Panamena (Copa),24.00,3936.00,3328.00,6629.00,2348.00,2026,2,F
PDL,ART,S4,Sata Internacional,24.00,4393.00,3290.00,6362.00,2395.00,2026,1,F
ART,PDL,S4,Sata Internacional,24.00,4397.00,2505.00,147.00,2395.00,2026,1,F
ART,PDL,S4,Sata Internacional,24.00,4404.00,3031.00,2.00,2395.00,2026,2,F
PDL,ART,S4,Sata Internacional,24.00,4405.00,2797.00,5071.00,2395.00,2026,2,F
MUC,ART,LH,Lufthansa German Airlines,24.00,7032.00,4930.00,747113.00,3852.00,2026,2,F
ART,MUC,LH,Lufthansa German Airlines,24.00,7032.00,5111.00,425218.00,3852.00,2026,2,F
HKG,ART,CX,Cathay Pacific Airways Ltd.,24.00,8016.00,6378.00,470591.00,7968.00,2026,2,F
ART,HKG,CX,Cathay Pacific Airways Ltd.,24.00,8016.00,7730.00,54241.00,7968.00,2026,2,F
ZRH,ART,LX,Swiss International Airlines,24.00,5818.00,5269.00,305501.00,3745.00,2026,1,F
ART,YOW,P3,Porter Airlines Inc. (PAI),25.00,1950.00,1048.00,0.00,309.00,2026,2,F
YYZ,ART,AC,Air Canada,25.00,3425.00,2395.00,31.00,446.00,2026,2,F
ART,DOH,QR,Qatar Airways (Q.C.S.C),25.00,7075.00,6347.00,308519.00,6517.00,2026,2,F
YOW,ART,P3,Porter Airlines Inc. (PAI),26.00,2028.00,1082.00,0.00,309.00,2026,2,F
ART,AUH,EY,Etihad Airways,26.00,8896.00,6696.00,363425.00,6680.00,2026,2,F
ART,MUC,LH,Lufthansa German Airlines,26.00,7591.00,6306.00,299988.00,3852.00,2026,1,F
DOH,ART,QR,Qatar Airways (Q.C.S.C),26.00,7358.00,6554.00,304042.00,6517.00,2026,2,F
SNN,ART,EI,Aer Lingus Plc,27.00,4968.00,2574.00,0.00,2895.00,2026,2,F
ART,SNN,EI,Aer Lingus Plc,27.00,4968.00,2905.00,11101.00,2895.00,2026,2,F
ART,NRT,JL,Japan Air Lines Co. Ltd.,27.00,5265.00,4204.00,257497.00,6701.00,2026,2,F
AUH,ART,EY,Etihad Airways,27.00,8896.00,7477.00,206386.00,6680.00,2026,2,F
NRT,ART,JL,Japan Air Lines Co. Ltd.,27.00,5265.00,3400.00,840976.00,6701.00,2026,2,F
ART,ICN,KE,Korean Air Lines Co. Ltd.,27.00,7493.00,6379.00,208450.00,6829.00,2026,2,F
ICN,ART,KE,Korean Air Lines Co. Ltd.,27.00,7493.00,5976.00,803486.00,6829.00,2026,2,F
MUC,ART,LH,Lufthansa German Airlines,27.00,7859.00,6668.00,547516.00,3852.00,2026,1,F
YOW,ART,P3,Porter Airlines Inc. (PAI),28.00,2184.00,1291.00,0.00,309.00,2026,1,F
MEX,ART,AM,Aeromexico,28.00,4648.00,4405.00,0.00,2276.00,2026,1,F
ART,MEX,AM,Aeromexico,28.00,4648.00,3847.00,0.00,2276.00,2026,1,F
ART,LHR,VS,Virgin Atlantic Airways,28.00,7448.00,4559.00,117913.00,3265.00,2026,1,F
LHR,ART,VS,Virgin Atlantic Airways,28.00,7448.00,5510.00,696751.00,3265.00,2026,1,F
ART,HKG,CX,Cathay Pacific Airways Ltd.,28.00,9352.00,8521.00,10657.00,7968.00,2026,1,F
SNN,ART,EI,Aer Lingus Plc,29.00,5336.00,3324.00,0.00,2895.00,2026,1,F
ART,SNN,EI,Aer Lingus Plc,29.00,5336.00,2905.00,10100.00,2895.00,2026,1,F
ART,KEF,FI,Icelandair,29.00,7598.00,4907.00,108871.00,2413.00,2026,1,F
ART,ICN,KE,Korean Air Lines Co. Ltd.,29.00,8033.00,6534.00,195807.00,6829.00,2026,1,F
KEF,ART,FI,Icelandair,29.00,7598.00,6044.00,813391.00,2413.00,2026,1,F
ICN,ART,KE,Korean Air Lines Co. Ltd.,29.00,8033.00,7303.00,733971.00,6829.00,2026,1,F
ART,LHR,BA,British Airways Plc,29.00,7424.00,4290.00,21054.00,3265.00,2026,1,F
LHR,ART,BA,British Airways Plc,29.00,7424.00,5709.00,367895.00,3265.00,2026,1,F
ART,DOH,QR,Qatar Airways (Q.C.S.C),29.00,8207.00,7730.00,264319.00,6517.00,2026,1,F
DOH,ART,QR,Qatar Airways (Q.C.S.C),29.00,8207.00,8008.00,210544.00,6517.00,2026,1,F
ART,YOW,P3,Porter Airlines Inc. (PAI),30.00,2340.00,904.00,0.00,309.00,2026,1,F
ART,NRT,JL,Japan Air Lines Co. Ltd.,30.00,5850.00,4466.00,384014.00,6701.00,2026,1,F
ART,AUH,EY,Etihad Airways,30.00,9090.00,8522.00,185057.00,6680.00,2026,1,F
AUH,ART,EY,Etihad Airways,30.00,9090.00,8939.00,153256.00,6680.00,2026,1,F
NRT,ART,JL,Japan Air Lines Co. Ltd.,30.00,5850.00,4984.00,938188.00,6701.00,2026,1,F
HKG,ART,CX,Cathay Pacific Airways Ltd.,30.00,10020.00,9541.00,469531.00,7968.00,2026,1,F
MAD,ART,IB,Iberia Air Lines Of Spain,31.00,5641.00,4241.00,0.00,3410.00,2026,2,F
ART,MAD,IB,Iberia Air Lines Of Spain,31.00,5642.00,4803.00,0.00,3410.00,2026,2,F
ART,PTY,CM,Compania Panamena (Copa),33.00,5460.00,4659.00,858.00,2348.00,2026,1,F
PTY,ART,CM,Compania Panamena (Copa),33.00,5460.00,5216.00,21322.00,2348.00,2026,1,F
ART,LHR,BA,British Airways Plc,34.00,8693.00,5704.00,49782.00,3265.00,2026,1,F
LIS,ART,TP,TAP-TAP Air Portugal,35.00,5877.00,4884.00,40031.00,3192.00,2026,2,F
ART,LIS,TP,TAP-TAP Air Portugal,35.00,5875.00,5082.00,2112.00,3192.00,2026,2,F
LHR,ART,BA,British Airways Plc,35.00,8965.00,7232.00,434073.00,3265.00,2026,1,F
LHR,ART,BA,British Airways Plc,39.00,10201.00,7049.00,778103.00,3265.00,2026,2,F
ART,LHR,BA,British Airways Plc,40.00,10473.00,7188.00,56441.00,3265.00,2026,2,F
ART,MAD,IB,Iberia Air Lines Of Spain,44.00,8008.00,5731.00,0.00,3410.00,2026,1,F
MAD,ART,IB,Iberia Air Lines Of Spain,44.00,8008.00,6734.00,0.00,3410.00,2026,1,F
LIS,ART,TP,TAP-TAP Air Portugal,46.00,7718.00,6913.00,31836.00,3192.00,2026,1,F
ART,LIS,TP,TAP-TAP Air Portugal,46.00,7720.00,5898.00,3256.00,3192.00,2026,1,F
DUB,ART,EI,Aer Lingus Plc,54.00,9936.00,7240.00,0.00,2993.00,2026,2,F
